Tratamentos,AREA,REP,COL,PAR,N
 VINTE ,C1a,1,A,0,0
 VINTE ,C1a,1,A,0,0
 VINTE ,C1a,1,A,1,1
 VINTE ,C1a,1,A,0,0
 VINTE ,C1a,1,A,1,2
 VINTE ,C1a,1,A,1,1
 VINTE ,C1a,1,A,0,0
 VINTE ,C1a,1,A,0,0
 VINTE ,C1a,1,A,0,0
 VINTE ,C1a,1,A,1,1
 VINTE ,C1a,2,A,1,1
 VINTE ,C1a,2,A,1,1
 VINTE ,C1a,2,A,0,0
 VINTE ,C1a,2,A,0,0
 VINTE ,C1a,2,A,0,0
 VINTE ,C1a,2,A,0,0
 VINTE ,C1a,2,A,0,0
 VINTE ,C1a,2,A,0,0
 VINTE ,C1a,2,A,0,0
 VINTE ,C1a,2,A,0,0
 VINTE ,C1b,1,B,0,0
 VINTE ,C1b,1,B,1,2
 VINTE ,C1b,1,B,0,0
 VINTE ,C1b,1,B,0,0
 VINTE ,C1b,1,B,0,0
 VINTE ,C1b,1,B,1,1
 VINTE ,C1b,1,B,0,0
 VINTE ,C1b,1,B,0,0
 VINTE ,C1b,1,B,1,1
 VINTE ,C1b,1,B,0,0
 VINTE ,C1b,2,B,0,0
 VINTE ,C1b,2,B,1,1
 VINTE ,C1b,2,B,0,0
 VINTE ,C1b,2,B,1,1
 VINTE ,C1b,2,B,0,0
 VINTE ,C1b,2,B,1,1
 VINTE ,C1b,2,B,0,0
 VINTE ,C1b,2,B,0,0
 VINTE ,C1b,2,B,0,0
 VINTE ,C1b,2,B,0,0
 VINTE ,C1c,1,C,0,0
 VINTE ,C1c,1,C,0,0
 VINTE ,C1c,1,C,1,2
 VINTE ,C1c,1,C,0,0
 VINTE ,C1c,1,C,1,3
 VINTE ,C1c,1,C,0,0
 VINTE ,C1c,1,C,1,1
 VINTE ,C1c,1,C,0,0
 VINTE ,C1c,1,C,1,1
 VINTE ,C1c,1,C,0,0
 VINTE ,C1c,2,C,0,0
 VINTE ,C1c,2,C,1,1
 VINTE ,C1c,2,C,0,0
 VINTE ,C1c,2,C,0,0
 VINTE ,C1c,2,C,0,0
 VINTE ,C1c,2,C,1,1
 VINTE ,C1c,2,C,0,0
 VINTE ,C1c,2,C,1,1
 VINTE ,C1c,2,C,0,0
 VINTE ,C1c,2,C,1,1
QUARENTA,C2a,1,A,0,0
QUARENTA,C2a,1,A,1,1
QUARENTA,C2a,1,A,1,2
QUARENTA,C2a,1,A,0,0
QUARENTA,C2a,1,A,1,1
QUARENTA,C2a,1,A,0,0
QUARENTA,C2a,1,A,1,2
QUARENTA,C2a,1,A,1,1
QUARENTA,C2a,1,A,1,1
QUARENTA,C2a,1,A,1,2
QUARENTA,C2a,2,A,0,0
QUARENTA,C2a,2,A,0,0
QUARENTA,C2a,2,A,0,0
QUARENTA,C2a,2,A,0,0
QUARENTA,C2a,2,A,0,0
QUARENTA,C2a,2,A,0,0
QUARENTA,C2a,2,A,0,0
QUARENTA,C2a,2,A,1,1
QUARENTA,C2a,2,A,0,0
QUARENTA,C2a,2,A,1,1
QUARENTA,C2c,1,C,0,0
QUARENTA,C2c,1,C,0,0
QUARENTA,C2c,1,C,1,1
QUARENTA,C2c,1,C,1,2
QUARENTA,C2c,1,C,0,0
QUARENTA,C2c,1,C,0,0
QUARENTA,C2c,1,C,0,0
QUARENTA,C2c,1,C,0,0
QUARENTA,C2c,1,C,1,2
QUARENTA,C2c,1,C,0,0
QUARENTA,C2c,2,C,0,0
QUARENTA,C2c,2,C,0,0
QUARENTA,C2c,2,C,1,1
QUARENTA,C2c,2,C,0,0
QUARENTA,C2c,2,C,0,0
QUARENTA,C2c,2,C,0,0
QUARENTA,C2c,2,C,1,1
QUARENTA,C2c,2,C,0,0
QUARENTA,C2c,2,C,0,0
QUARENTA,C2c,2,C,1,1
SESSENTA,C3a,1,A,0,0
SESSENTA,C3a,1,A,1,1
SESSENTA,C3a,1,A,0,0
SESSENTA,C3a,1,A,0,0
SESSENTA,C3a,1,A,1,1
SESSENTA,C3a,1,A,0,0
SESSENTA,C3a,1,A,0,0
SESSENTA,C3a,1,A,0,0
SESSENTA,C3a,1,A,0,0
SESSENTA,C3a,1,A,1,1
SESSENTA,C3a,2,A,1,2
SESSENTA,C3a,2,A,0,0
SESSENTA,C3a,2,A,0,0
SESSENTA,C3a,2,A,0,0
SESSENTA,C3a,2,A,1,1
SESSENTA,C3a,2,A,0,0
SESSENTA,C3a,2,A,0,0
SESSENTA,C3a,2,A,0,0
SESSENTA,C3a,2,A,0,0
SESSENTA,C3a,2,A,0,0
SESSENTA,C3b,1,B,0,0
SESSENTA,C3b,1,B,1,1
SESSENTA,C3b,1,B,0,0
SESSENTA,C3b,1,B,0,0
SESSENTA,C3b,1,B,1,1
SESSENTA,C3b,1,B,0,0
SESSENTA,C3b,1,B,0,0
SESSENTA,C3b,1,B,1,1
SESSENTA,C3b,1,B,1,1
SESSENTA,C3b,1,B,0,0
SESSENTA,C3b,2,B,1,1
SESSENTA,C3b,2,B,0,0
SESSENTA,C3b,2,B,0,0
SESSENTA,C3b,2,B,1,1
SESSENTA,C3b,2,B,0,0
SESSENTA,C3b,2,B,0,0
SESSENTA,C3b,2,B,1,1
SESSENTA,C3b,2,B,1,1
SESSENTA,C3b,2,B,0,0
SESSENTA,C3b,2,B,0,0
SESSENTA,C3c,1,C,0,0
SESSENTA,C3c,1,C,1,1
SESSENTA,C3c,1,C,1,1
SESSENTA,C3c,1,C,1,3
SESSENTA,C3c,1,C,0,0
SESSENTA,C3c,1,C,0,0
SESSENTA,C3c,1,C,1,1
SESSENTA,C3c,1,C,0,0
SESSENTA,C3c,1,C,1,1
SESSENTA,C3c,1,C,0,0
SESSENTA,C3c,2,C,0,0
SESSENTA,C3c,2,C,1,2
SESSENTA,C3c,2,C,0,0
SESSENTA,C3c,2,C,1,1
SESSENTA,C3c,2,C,0,0
SESSENTA,C3c,2,C,0,0
SESSENTA,C3c,2,C,0,0
SESSENTA,C3c,2,C,0,0
SESSENTA,C3c,2,C,1,1
SESSENTA,C3c,2,C,1,1
